Source,Destination,Distance
3,120,480
3,121,552
3,122,383
3,123,788
3,124,423
3,125,943
3,126,541
3,127,585
3,128,322
3,129,551
3,130,917
3,131,913
3,132,637
3,133,141
3,134,852
3,135,537
3,136,869
3,137,350
3,138,661
3,139,365
3,140,410
3,141,835
3,142,576
3,143,412
3,144,353
3,145,158
3,146,903
3,147,248
3,148,536
3,149,322
3,150,613
3,151,625
3,152,817
3,153,261
3,154,532
3,155,388
3,156,531
3,157,213
3,158,357
3,159,460
3,160,790
3,161,902
3,162,182
3,163,315
3,164,584
3,165,851
3,166,519
3,167,642
3,168,430
3,169,783
3,170,529
3,171,807
3,172,833
3,173,109
3,174,665
3,175,885
3,176,644
3,177,374
3,178,620
3,179,222
3,180,425
3,181,587
3,182,622
3,183,814
3,184,473
3,185,305
3,186,608
3,187,592
3,188,442
3,189,820
3,190,432
3,191,202
3,192,620
3,193,387
3,194,485
3,195,398
3,196,409
3,197,259
3,198,64
3,199,381
3,200,685
4,1,399
4,2,812
4,3,227
4,4,0
4,5,262
4,6,820
4,7,518
4,8,170
4,9,319
4,10,721
4,11,190
4,12,940
4,13,711
4,14,410
4,15,845
4,16,543
4,17,669
4,18,433
4,19,469
4,20,607
4,21,687
4,22,790
4,23,469
4,24,352
4,25,547
4,26,220
4,27,277
4,28,743
4,29,805
4,30,185
4,31,326
4,32,384
4,33,261
4,34,312
4,35,523
4,36,706
4,37,432
4,38,541
4,39,638
4,40,691
4,41,663
4,42,417
4,43,359
4,44,736
4,45,519
4,46,754
4,47,380
4,48,599
4,49,377
4,50,374
4,51,274
4,52,785
4,53,222
4,54,235
4,55,456
4,56,584
4,57,215
4,58,346
4,59,226
4,60,977
4,61,364
4,62,422
4,63,779
4,64,461
4,65,417
4,66,514
4,67,205
4,68,226
4,69,270
4,70,47
4,71,539
4,72,741
4,73,606
4,74,548
4,75,286
4,76,565
4,77,173
4,78,189
4,79,528
4,80,286
4,81,737
4,82,257
4,83,733
4,84,818
4,85,768
4,86,611
4,87,606
4,88,682
4,89,688
4,90,185
4,91,775
4,92,706
4,93,58
4,94,288
4,95,725
4,96,592
4,97,816
4,98,656
4,99,112
4,100,266
4,101,315
4,102,405
4,103,171
4,104,191
4,105,808
4,106,546
4,107,613
4,108,763
4,109,751
4,110,549
4,111,518
4,112,329
4,113,696
4,114,668
4,115,758
4,116,158
4,117,282
4,118,1008
4,119,494
4,120,683
4,121,598
4,122,169
4,123,794
4,124,642
4,125,980
4,126,570
4,127,760
4,128,456
4,129,677
4,130,932
4,131,943
4,132,635
4,133,315
4,134,810
4,135,611
4,136,906
4,137,182
4,138,548
4,139,526
4,140,616
4,141,773
4,142,427
4,143,417
4,144,573
4,145,380
4,146,967
4,147,468
4,148,417
4,149,109
4,150,406
4,151,482
4,152,682
4,153,488
4,154,629
4,155,272
4,156,339
4,157,403
4,158,138
4,159,437
4,160,793
4,161,727
4,162,350
4,163,393
4,164,661
4,165,679
4,166,396
4,167,492
4,168,630
4,169,781
4,170,320
4,171,639
4,172,733
4,173,209
4,174,776
4,175,894
4,176,816
4,177,184
4,178,782
4,179,396
4,180,277
4,181,639
4,182,820
4,183,689
4,184,536
4,185,96
4,186,753
4,187,768
4,188,598
4,189,691
4,190,646
4,191,428
4,192,529
4,193,174
4,194,532
4,195,597
4,196,405
4,197,125
4,198,259
4,199,516
4,200,780
5,1,177
5,2,782
5,3,340
5,4,262
5,5,0
5,6,762
5,7,407
5,8,95
5,9,270
5,10,476
5,11,449
5,12,705
5,13,636
5,14,174
5,15,589
5,16,281
5,17,671
5,18,262
5,19,211
5,20,408
5,21,505
5,22,540
5,23,250
5,24,324
5,25,513
5,26,95
5,27,460
5,28,495
5,29,647
5,30,374
5,31,185
5,32,404
5,33,20
5,34,482
5,35,568
5,36,446
5,37,265
5,38,294
5,39,379
5,40,562
5,41,554
5,42,229
5,43,146
5,44,524
5,45,369
5,46,604
5,47,139
5,48,361
5,49,463
5,50,165
5,51,253
5,52,670
5,53,44
5,54,456
5,55,351
5,56,372
5,57,49
5,58,279
5,59,361
5,60,720
5,61,479
5,62,256
5,63,524
5,64,477
5,65,157
5,66,315
5,67,438
5,68,195
5,69,196
5,70,291
5,71,341
5,72,615
5,73,456
5,74,507
5,75,532
5,76,554
5,77,418
5,78,356
5,79,429
5,80,464
5,81,493
5,82,196
5,83,691
5,84,645
5,85,557
5,86,352
5,87,345
5,88,425
5,89,621
5,90,139
5,91,525
5,92,531
5,93,318
5,94,473
5,95,472
5,96,402
5,97,554
5,98,466
5,99,350
5,100,211
5,101,577
5,102,370
5,103,256
5,104,78
5,105,684
5,106,300
5,107,411
5,108,624
5,109,538
5,110,355
5,111,287
5,112,77
5,113,627
5,114,460
5,115,517
5,116,359
5,117,251
5,118,754
5,119,452
5,120,624
5,121,364
5,122,380
5,123,535
5,124,629
5,125,728
5,126,327
5,127,642
5,128,335
5,129,505
5,130,674
5,131,689
5,132,377
5,133,478
5,134,549
5,135,396
5,136,655
5,137,434
5,138,321
5,139,422
5,140,570
5,141,517
5,142,250
5,143,177
5,144,573
5,145,482
5,146,728
5,147,486
5,148,197
5,149,340
5,150,367
5,151,292
5,152,478
5,153,547
5,154,432
5,155,66
5,156,268
5,157,377
5,158,348
5,159,179
5,160,533
5,161,583
5,162,317
5,163,230
5,164,445
5,165,530
5,166,182
5,167,314
5,168,570
5,169,521
5,170,308
5,171,485
5,172,496
5,173,237
5,174,580
5,175,634
5,176,689
5,177,179
5,178,645
5,179,349
5,180,127
5,181,405
5,182,738
5,183,474
5,184,321
5,185,215
5,186,595
5,187,652
5,188,473
5,189,480
5,190,618
5,191,503
5,192,284
5,193,386
5,194,305
5,195,540
5,196,161
5,197,138
5,198,317
5,199,381
5,200,569
6,1,899
6,2,90
6,3,612
6,4,820
6,5,762
6,6,0
6,7,359
6,8,789
6,9,516
6,10,673
6,11,870
6,12,690
6,13,128
6,14,878
6,15,806
6,16,820
6,17,209
6,18,1005
6,19,722
6,20,486
6,21,416
6,22,724
6,23,952
6,24,1079
6,25,273
6,26,843
6,27,671
6,28,698
6,29,323
6,30,1005
6,31,947
6,32,442
6,33,782
6,34,642
6,35,360
6,36,790
6,37,513
6,38,664
6,39,904
6,40,1301
6,41,232
6,42,557
6,43,636
6,44,516
6,45,1111
6,46,303
6,47,676
6,48,987
6,49,496
6,50,620
6,51,1000
6,52,185
6,53,781
6,54,751
6,55,1110
6,56,1053
6,57,777
6,58,495
6,59,628
6,60,887
6,61,539
6,62,1003
6,63,1016
6,64,373
6,65,732
6,66,523
6,67,778
6,68,616
6,69,586
6,70,795
6,71,510
6,72,230
6,73,362
6,74,272
6,75,840
6,76,266
6,77,805
6,78,674
6,79,335
6,80,661
6,81,1058
6,82,594
6,83,95
6,84,378
6,85,517
6,86,755
6,87,862
6,88,753
6,89,141
6,90,867
6,91,720
6,92,391
6,93,859
6,94,674
6,95,734
6,96,467
6,97,865
6,98,1158
6,99,925
6,100,963
6,101,970
6,102,418
6,103,649
6,104,796
6,105,210
6,106,926
6,107,1097
6,108,264
6,109,526
6,110,1063
6,111,607
6,112,718
6,113,135
6,114,505
6,115,657
6,116,978
6,117,1001
6,118,865
6,119,328
6,120,140
6,121,608
6,122,988
6,123,815
6,124,201
6,125,832
6,126,643
6,127,200
6,128,429
6,129,388
6,130,872
6,131,829
6,132,749
6,133,631
6,134,972
6,135,536
6,136,783
6,137,962
6,138,989
6,139,343
6,140,205
6,141,1004
6,142,992
6,143,661
6,144,269
6,145,514
6,146,728
6,147,368
6,148,916
6,149,926
6,150,1126
6,151,1017
6,152,1148
6,153,401
6,154,475
6,155,828
6,156,1029
6,157,418
6,158,958
6,159,721
6,160,823
6,161,1311
6,162,476
6,163,539
6,164,535
6,165,1257
6,166,912
6,167,1044
6,168,195
6,169,827
6,170,1058
6,171,1214
6,172,1087
6,173,615
6,174,460
6,175,870
6,176,219
6,177,903
6,178,256
6,179,432
6,180,888
6,181,603
6,182,73
6,183,1125
6,184,555
6,185,871
6,186,326
6,187,193
6,188,314
6,189,1139
6,190,182
6,191,454
6,192,920
6,193,992
6,194,592
6,195,227
6,196,676
6,197,787
6,198,563
6,199,397
6,200,519
7,1,540
7,2,394
7,3,363
7,4,518
7,5,407
7,6,359
7,7,0
7,8,447
7,9,200
7,10,413
7,11,625
7,12,544
7,13,232
7,14,519
7,15,565
7,16,478
7,17,325
7,18,646
7,19,372
7,20,205
7,21,219
7,22,482
7,23,595
7,24,729
7,25,167
7,26,493
7,27,478
7,28,441
7,29,295
7,30,697
7,31,590
7,32,229
7,33,427
7,34,467
7,35,313
7,36,497
7,37,155
7,38,333
7,39,573
7,40,942
7,41,150
7,42,199
7,43,277
7,44,314
7,45,751
7,46,242
7,47,317
7,48,640
7,49,334
7,50,261
7,51,653
7,52,271
7,53,431
7,54,538
7,55,752
7,56,700
7,57,428
7,58,172
7,59,390
7,60,680
7,61,383
7,62,644
7,63,702
7,64,231
7,65,376
7,66,188
7,67,551
7,68,293
7,69,253
7,70,507
7,71,186
7,72,223
7,73,110
7,74,152
7,75,638
7,76,223
7,77,563
7,78,428
7,79,28
7,80,472
7,81,728
7,82,264
7,83,301
7,84,319
7,85,338
7,86,437
7,87,529
7,88,459
7,89,220
7,90,523
7,91,472
7,92,223
7,93,568
7,94,487
7,95,460
7,96,178
7,97,595
7,98,805
7,99,630
7,100,614
7,101,748
7,102,149
7,103,359
7,104,450
7,105,291
7,106,577
7,107,743
7,108,246
7,109,331
7,110,706
7,111,272
7,112,359
7,113,225
7,114,261
7,115,420
7,116,672
7,117,653
7,118,681
7,119,128
7,120,227
7,121,304
7,122,686
7,123,550
7,124,274
7,125,647
7,126,324
7,127,245
7,128,72
7,129,194
7,130,649
7,131,627
7,132,439
7,133,456
7,134,675
7,135,248
7,136,579
7,137,686
7,138,636
7,139,17
7,140,191
7,141,690
7,142,633
7,143,305
7,144,251
7,145,364
7,146,580
7,147,235
7,148,557
7,149,627
7,150,774
7,151,659
7,152,798
7,153,324
7,154,211
7,155,472
7,156,675
7,157,161
7,158,654
7,159,367
7,160,555
7,161,953
7,162,182
7,163,180
7,164,278
7,165,899
7,166,553
7,167,685
7,168,178
7,169,554
7,170,710
7,171,856
7,172,752
7,173,313
7,174,314
7,175,631
7,176,299
7,177,561
7,178,265
7,179,142
7,180,534
7,181,319
7,182,331
7,183,778
7,184,229
7,185,546
7,186,245
7,187,253
7,188,81
7,189,791
7,190,248
7,191,329
7,192,569
7,193,691
7,194,263
7,195,156
7,196,319
7,197,454
7,198,300
7,199,50
7,200,347
8,1,238
8,2,800
8,3,291
8,4,170
8,5,95
8,6,789
8,7,447
8,8,0
8,9,276
8,10,567
8,11,359
8,12,795
8,13,668
8,14,245
8,15,683
8,16,373
8,17,675
8,18,295
8,19,305
8,20,483
8,21,575
8,22,633
8,23,312
8,24,293
8,25,527
8,26,70
8,27,395
8,28,587
8,29,710
8,30,285
8,31,196
8,32,393
8,33,92
8,34,423
8,35,555
8,36,541
8,37,323
8,38,386
8,39,468
8,40,583
8,41,597
8,42,295
8,43,219
8,44,605
8,45,395
8,46,663
8,47,226
8,48,436
8,49,431
8,50,238
8,51,212
8,52,717
8,53,52
8,54,379
8,55,355
8,56,431
8,57,46
8,58,294
8,59,307
8,60,815
8,61,438
8,62,286
8,63,610
8,64,471
8,65,252
8,66,389
8,67,357
8,68,181
8,69,204
8,70,203
8,71,415
8,72,666
8,73,513
8,74,523
8,75,447
8,76,560
8,77,333
8,78,292
8,79,465
8,80,402
8,81,572
8,82,197
8,83,712
8,84,713
8,85,638
8,86,446
8,87,436
8,88,520
8,89,649
8,90,77
8,91,619
8,92,599
8,93,224
8,94,408
8,95,566
8,96,474
8,97,649
8,98,514
8,99,256
8,100,178
8,101,485
8,102,378
8,103,207
8,104,22
8,105,735
8,106,379
8,107,465
8,108,680
8,109,619
8,110,404
8,111,373
8,112,168
8,113,657
8,114,539
8,115,608
8,116,268
8,117,214
8,118,848
8,119,466
8,120,650
8,121,452
8,122,288
8,123,630
8,124,637
8,125,822
8,126,418
8,127,690
8,128,377
8,129,571
8,130,769
8,131,784
8,132,472
8,133,421
8,134,640
8,135,477
8,136,748
8,137,339
8,138,388
8,139,460
8,140,590
8,141,604
8,142,286
8,143,265
8,144,576
8,145,445
8,146,818
8,147,479
8,148,258
8,149,246
8,150,343
8,151,338
8,152,534
8,153,527
8,154,507
8,155,107
8,156,251
8,157,382
8,158,256
8,159,273
8,160,628
8,161,611
8,162,321
8,163,284
8,164,527
8,165,560
8,166,238
8,167,353
8,168,595
8,169,616
8,170,269
8,171,516
8,172,571
8,173,206
8,174,656
8,175,729
8,176,741
8,177,114
8,178,700
8,179,361
8,180,134
8,181,493
8,182,774
8,183,536
8,184,401
8,185,123
8,186,657
8,187,699
8,188,521
8,189,540
8,190,632
8,191,476
8,192,363
8,193,294
8,194,389
8,195,563
8,196,250
8,197,46
8,198,286
8,199,430
8,200,650
9,1,438
9,2,523
9,3,180
9,4,319
9,5,270
9,6,516
9,7,200
9,8,276
9,9,0
9,10,507
9,11,429
9,12,690
9,13,399
9,14,426
9,15,655
9,16,456
9,17,402
9,18,531
9,19,345
9,20,335
9,21,393
9,22,581
9,23,506
9,24,569
9,25,250
9,26,336
9,27,311
9,28,534
9,29,493
9,30,501
9,31,452
9,32,141
9,33,288
9,34,313
9,35,302
9,36,548
9,37,167
9,38,361
9,39,562
9,40,832
9,41,344
9,42,184
9,43,201
9,44,465
9,45,638
9,46,441
9,47,251
9,48,591
9,49,226
9,50,198
9,51,488
9,52,466
9,53,277
9,54,356
9,55,618
9,56,625
9,57,272
9,58,29
9,59,209
9,60,783
9,61,261
9,62,526
9,63,707
9,64,208
9,65,319
9,66,260
9,67,363
9,68,100
9,69,75
9,70,306
9,71,278
9,72,422
9,73,297
9,74,247
9,75,456
9,76,286
9,77,370
9,78,240
9,79,209
9,80,309
9,81,706
9,82,79
9,83,436
9,84,512
9,85,494
9,86,463
9,87,519
9,88,513
9,89,378
9,90,354
9,91,568
9,92,406
9,93,368
9,94,323
9,95,536
9,96,313
9,97,658
9,98,725
9,99,430
9,100,454
9,101,556
9,102,102
9,103,159
9,104,285
9,105,489
9,106,525
9,107,667
9,108,446
9,109,482
9,110,617
9,111,310
9,112,258
9,113,386
9,114,400
9,115,531
9,116,475
9,117,490
9,118,798
9,119,190
9,120,376
9,121,378
9,122,488
9,123,621
9,124,362
9,125,766
9,126,372
9,127,441
9,128,146
9,129,376
9,130,745
9,131,737
9,132,477
9,133,304
9,134,704
9,135,358
9,136,692
9,137,486
9,138,567
9,139,208
9,140,314
9,141,697
9,142,519
9,143,265
9,144,304
9,145,252
9,146,723
9,147,217
9,148,458
9,149,428
9,150,619
9,151,558
9,152,731
9,153,286
9,154,352
9,155,335
9,156,524
9,157,107
9,158,456
9,159,324
9,160,624
9,161,852
9,162,47
9,163,143
9,164,404
9,165,799
9,166,447
9,167,581
9,168,321
9,169,618
9,170,545
9,171,754
9,172,720
9,173,112
9,174,488
9,175,716
9,176,498
9,177,388
9,178,465
9,179,85
9,180,390
9,181,410
9,182,507
9,183,720
9,184,297
9,185,356
9,186,442
9,187,449
9,188,281
9,189,729
9,190,356
9,191,253
9,192,512
9,193,493
9,194,313
9,195,289
9,196,268
9,197,271
9,198,119
9,199,207
9,200,506
10,1,465
10,2,742
10,3,682
10,4,721
10,5,476
10,6,673
10,7,413
10,8,567
10,9,507
10,10,0
10,11,890
10,12,235
10,13,563
10,14,436
10,15,153
10,16,275
10,17,722
10,18,560
10,19,271
10,20,209
10,21,257
10,22,74
10,23,468
10,24,736
10,25,576
10,26,561
10,27,817
10,28,29
10,29,383
10,30,850
10,31,576
10,32,613
10,33,486
10,34,820
10,35,725
10,36,132
10,37,341
10,38,182
10,39,295
10,40,782
10,41,453
10,42,328
10,43,363
10,44,166
10,45,633
10,46,378
10,47,342
10,48,417
10,49,717
10,50,351
10,51,692
10,52,497
10,53,520
10,54,851
10,55,684
10,56,509
10,57,524
10,58,484
10,59,711
10,60,276
10,61,760
10,62,566
10,63,362
10,64,637
10,65,324
10,66,249
10,67,848
10,68,536
10,69,494
10,70,736
10,71,237
10,72,444
10,73,334
10,74,561
10,75,945
10,76,633
10,77,843
10,78,733
10,79,437
10,80,815
10,81,428
10,82,508
10,83,659
10,84,341
10,85,181
10,86,163
10,87,270
10,88,106
10,89,570
10,90,610
10,91,62
10,92,283
10,93,779
10,94,829
10,95,63
10,96,236
10,97,192
10,98,601
10,99,821
10,100,648
10,101,1023
10,102,530
10,103,630
10,104,553
10,105,486
10,106,382
10,107,546
10,108,418
10,109,163
10,110,546
10,111,207
10,112,400
10,113,570
10,114,169
10,115,48
10,116,835
10,117,685
10,118,293
10,119,540
10,120,586
10,121,130
10,122,855
10,123,143
10,124,671
10,125,263
10,126,151
10,127,476
10,128,397
10,129,286
10,130,240
10,131,231
10,132,137
10,133,811
10,134,304
10,135,164
10,136,188
10,137,901
10,138,455
10,139,426
10,140,583
10,141,349
10,142,549
10,143,304
10,144,661
10,145,747
10,146,253
10,147,643
10,148,469
10,149,812
10,150,757
10,151,537
10,152,572
10,153,732
10,154,209
10,155,507
10,156,671
10,157,544
10,158,823
10,159,301
10,160,151
10,161,771
10,162,527
10,163,367
10,164,142
10,165,725
10,166,482
10,167,563
10,168,557
10,169,154
10,170,734
10,171,690
10,172,466
10,173,584
10,174,240
10,175,218
10,176,483
10,177,647
10,178,433
10,179,511
10,180,554
10,181,98
10,182,611
10,183,537
10,184,210
10,185,690
10,186,357
10,187,485
10,188,394
10,189,554
10,190,639
10,191,726
10,192,387
10,193,861
10,194,197
10,195,548
10,196,318
10,197,604
10,198,624
10,199,364
10,200,186
11,1,588
11,2,842
11,3,267
11,4,190
11,5,449
11,6,870
11,7,625
11,8,359
11,9,429
11,10,890
11,11,0
11,12,1100
11,13,779
11,14,599
11,15,1022
11,16,730
11,17,688
11,18,614
11,19,650
11,20,753
11,21,821
11,22,962
11,23,657
11,24,498
11,25,604
11,26,409
11,27,213
11,28,914
11,29,920
11,30,242
11,31,507
11,32,434
11,33,450
11,34,250
11,35,528
11,36,887
11,37,576
11,38,715
11,39,827
11,40,849
11,41,756
11,42,571
11,43,528
11,44,884
11,45,691
11,46,866
11,47,556
11,48,788
11,49,378
11,50,540
11,51,433
11,52,874
11,53,410
11,54,132
11,55,618
11,56,769
11,57,403
11,58,458
11,59,245
11,60,1154
11,61,343
11,62,602
11,63,968
11,64,497
11,65,600
11,66,666
11,67,96
11,68,361
11,69,407
11,70,158
11,71,689
11,72,838
11,73,726
11,74,610
11,75,114
11,76,604
11,77,65
11,78,201
11,79,627
11,80,224
11,81,926
11,82,393
11,83,777
11,84,941
11,85,916
11,86,792
11,87,794
11,88,861
11,89,752
11,90,370
11,91,948
11,92,835
11,93,143
11,94,216
11,95,901
11,96,734
11,97,998
11,98,835
11,99,163
11,100,437
11,101,132
11,102,486
11,103,273
11,104,380
11,105,901
11,106,736
11,107,796
11,108,867
11,109,901
11,110,731
11,111,684
11,112,511
11,113,761
11,114,817
11,115,924
11,116,219
11,117,442
11,118,1182
11,119,564
11,120,743
11,121,763
11,122,210
11,123,974
11,124,674
11,125,1153
11,126,740
11,127,852
11,128,576
11,129,805
11,130,1110
11,131,1117
11,132,815
11,133,259
11,134,998
11,135,765
11,136,1078
11,137,122
11,138,735
11,139,629
11,140,673
11,141,963
11,142,608
11,143,591
11,144,604
11,145,367
11,146,1129
11,147,502
11,148,605
11,149,175
11,150,549
11,151,665
11,152,864
11,153,487
11,154,773
11,155,462
11,156,502
11,157,480
11,158,205
11,159,619
11,160,973
11,161,889
11,162,443
11,163,539
11,164,815
11,165,845
11,166,584
11,167,672
11,168,695
11,169,963
11,170,466
11,171,807
11,172,921
11,173,322
11,174,915
11,175,1074
11,176,911
11,177,361
11,178,885
11,179,486
11,180,463
11,181,803
11,182,886
11,183,874
11,184,693
11,185,272
11,186,869
11,187,858
11,188,705
11,189,875
11,190,688
11,191,427
11,192,719
11,193,209
11,194,696
11,195,663
11,196,582
11,197,313
11,198,327
11,199,637
11,200,927
12,1,699
12,2,774
12,3,870
12,4,940
12,5,705
12,6,690
12,7,544
12,8,795
12,9,690
12,10,235
12,11,1100
12,12,0
12,13,611
12,14,670
12,15,214
12,16,505
12,17,800
12,18,791
12,19,505
12,20,356
12,21,330
12,22,192
12,23,697
12,24,970
12,25,686
12,26,794
12,27,1000
12,28,224
12,29,367
12,30,1079
12,31,811
12,32,769
12,33,717
12,34,997
12,35,847
12,36,329
12,37,528
12,38,412
12,39,501
12,40,991
12,41,518
12,42,529
12,43,582
12,44,230
12,45,856
12,46,394
12,47,568
12,48,628
12,49,876
12,50,567
12,51,926
12,52,505
12,53,749
12,54,1045
12,55,914
12,56,723
12,57,752
12,58,664
12,59,900
12,60,217
12,61,923
12,62,797
12,63,517
12,64,773
12,65,557
12,66,435
12,67,1048
12,68,739
12,69,694
12,70,951
12,71,414
12,72,471
12,73,439
12,74,670
12,75,1143
12,76,738
12,77,1048
12,78,928
12,79,561
12,80,997
12,81,604
12,82,709
12,83,709
12,84,312
12,85,207
12,86,392
12,87,487
12,88,322
12,89,628
12,90,842
12,91,204
12,92,337
12,93,998
12,94,1011
12,95,265
12,96,380
12,97,305
12,98,805
12,99,1045
12,100,883
12,101,1232
12,102,686
12,103,831
12,104,782
12,105,480
12,106,604
12,107,756
12,108,431
12,109,213
12,110,765
12,111,423
12,112,628
12,113,624
12,114,291
12,115,189
12,116,1063
